5690,"Nodame Cantabile Finale",TV,11,22 min.,PG-13 - Teens,2010,"J.C.Staff","Comedy,Josei,Music,Romance"
1571,"Ghost Hunt",TV,25,25 min.,PG-13 - Teens,2006,"J.C.Staff","Comedy,Horror,Mystery,Shoujo,Supernatural"
11759,"Accel World",TV,24,24 min.,PG-13 - Teens,2012,"Sunrise","Action,Game,Sci-Fi,Romance,School"
7674,"Bakuman.",TV,25,24 min.,PG-13 - Teens,2010,"J.C.Staff","Comedy,Drama,Romance,Shounen"
1698,"Nodame Cantabile",TV,23,22 min.,PG-13 - Teens,2007,"J.C.Staff","Music,Slice of Life,Comedy,Drama,Romance,Josei"
14713,"Kamisama Hajimemashita",TV,13,24 min.,PG-13 - Teens,2012,"TMS Entertainment","Comedy,Demons,Supernatural,Romance,Fantasy,Shoujo"
232,"Cardcaptor Sakura",TV,70,25 min.,PG - Children,1998,"Madhouse","Adventure,Comedy,Drama,Magic,Romance,Fantasy,School,Shoujo"
233,"Daa! Daa! Daa!",TV,78,25 min.,G - Everyone,2000,"J.C.Staff","Comedy,Sci-Fi,Shoujo"
9656,"Kimi ni Todoke 2nd Season",TV,12,23 min.,PG-13 - Teens,2011,"Production I.G","Slice of Life,Drama,Romance,School,Shoujo"
9926,"Sekaiichi Hatsukoi",TV,12,23 min.,PG-13 - Teens,2011,"Studio Deen","Comedy,Drama,Romance,Shounen Ai"
2564,"Code-E",TV,12,24 min.,G - Everyone,2007,"Studio Deen","Comedy,Romance,School,Sci-Fi,Slice of Life"
3092,"Junjou Romantica",TV,12,24 min.,PG-13 - Teens,2008,"Studio Deen","Comedy,Drama,Romance,Shounen Ai"
1579,"Kiniro no Corda: Primo Passo",TV,25,24 min.,PG-13 - Teens,2006,"Yumeta Company","Comedy,Drama,Harem,Magic,Music,Romance,School,Shoujo"
32370,"D.Gray-man Hallow",TV,13,24 min.,R - 17+ (violence),2016,"TMS Entertainment","Action,Adventure,Super Power,Demons,Shounen"
11547,"Sengoku☆Paradise Kiwami",TV,26,3 min.,PG-13 - Teens,2011,"Milky Cartoon,LMD","Action,Comedy,Drama,Historical,Romance,Samurai,Shoujo"
