5530,"Pandora Hearts",TV,25,24 min.,PG-13 - Teens,2009,"Xebec","Adventure,Fantasy,Mystery,Shounen,Supernatural"
12467,"Nazo no Kanojo X",TV,13,24 min.,R - 17+ (violence),2012,"Hoods Entertainment","Romance,School,Seinen"
136,"Hunter x Hunter",TV,62,23 min.,PG-13 - Teens,1999,"Nippon Animation","Action,Adventure,Shounen,Super Power"
138,"Hunter x Hunter: Greed Island",OVA,8,22 min.,PG-13 - Teens,0,"Nippon Animation","Action,Adventure,Shounen,Super Power"
146,"Kono Minikuku mo Utsukushii Sekai",TV,12,24 min.,R+ - Mild Nudity,2004,"Gainax,Shaft","Sci-Fi,Comedy,Drama,Magic,Romance,Ecchi"
159,"Boukyaku no Senritsu",TV,24,23 min.,PG-13 - Teens,2004,"Gainax,J.C.Staff","Adventure,Fantasy,Horror,Mecha,Psychological,Sci-Fi,Shounen,Space,Supernatural"
